Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:16.59M (Peak 16.59M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile
Fra:1 Mem:16.60M (Peak 16.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.001
Fra:1 Mem:16.60M (Peak 16.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.004
Fra:1 Mem:16.60M (Peak 16.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.006
Fra:1 Mem:16.60M (Peak 16.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.007
Fra:1 Mem:16.60M (Peak 16.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_crypt.wall_panel.003
Fra:1 Mem:16.60M (Peak 16.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_crypt.wall_panel.010
Fra:1 Mem:16.61M (Peak 16.61M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_corner_crypt.wall_corner.002
Fra:1 Mem:16.61M (Peak 16.61M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_corner_crypt.wall_corner
Fra:1 Mem:16.61M (Peak 16.61M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.010
Fra:1 Mem:16.61M (Peak 16.61M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.011
Fra:1 Mem:16.61M (Peak 16.61M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.014
Fra:1 Mem:16.62M (Peak 16.62M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.016
Fra:1 Mem:16.62M (Peak 16.62M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.018
Fra:1 Mem:16.62M (Peak 16.62M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.019
Fra:1 Mem:16.62M (Peak 16.62M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.020
Fra:1 Mem:16.62M (Peak 16.62M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.024
Fra:1 Mem:16.63M (Peak 16.63M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_crypt.wall_panel.013
Fra:1 Mem:16.63M (Peak 16.63M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_crypt.wall_panel.014
Fra:1 Mem:16.63M (Peak 16.63M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_crypt.wall_panel.015
Fra:1 Mem:16.64M (Peak 16.64M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_crypt.wall_panel.018
Fra:1 Mem:16.65M (Peak 16.65M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_crypt.wall_panel.020
Fra:1 Mem:16.65M (Peak 16.65M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_crypt.wall_panel.023
Fra:1 Mem:16.65M (Peak 16.65M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_crypt.wall_panel.025
Fra:1 Mem:16.65M (Peak 16.65M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | doorway_frame_crypt.doorway_frame.001
Fra:1 Mem:16.65M (Peak 16.65M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_corner_crypt.wall_corner.004
Fra:1 Mem:16.65M (Peak 16.65M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_corner_crypt.wall_corner.005
Fra:1 Mem:16.66M (Peak 16.66M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_corner_crypt.wall_corner.006
Fra:1 Mem:16.66M (Peak 16.66M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | column_crypt.column.001
Fra:1 Mem:16.66M (Peak 16.66M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.001
Fra:1 Mem:16.66M (Peak 16.66M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.002
Fra:1 Mem:16.66M (Peak 16.66M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.003
Fra:1 Mem:16.67M (Peak 16.67M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.004
Fra:1 Mem:16.67M (Peak 16.67M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.005
Fra:1 Mem:16.67M (Peak 16.67M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.007
Fra:1 Mem:16.67M (Peak 16.67M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | stair_crypt.stair
Fra:1 Mem:16.67M (Peak 16.67M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.009
Fra:1 Mem:16.68M (Peak 16.68M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | brazier_light
Fra:1 Mem:16.68M (Peak 16.68M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.010
Fra:1 Mem:16.68M (Peak 16.68M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.011
Fra:1 Mem:16.68M (Peak 16.68M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.012
Fra:1 Mem:16.68M (Peak 16.68M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.013
Fra:1 Mem:16.68M (Peak 16.68M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.015
Fra:1 Mem:16.68M (Peak 16.68M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.018
Fra:1 Mem:16.69M (Peak 16.69M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.019
Fra:1 Mem:16.69M (Peak 16.69M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.020
Fra:1 Mem:16.69M (Peak 16.69M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.021
Fra:1 Mem:16.69M (Peak 16.69M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.022
Fra:1 Mem:16.69M (Peak 16.69M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.023
Fra:1 Mem:16.69M (Peak 16.69M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.025
Fra:1 Mem:16.70M (Peak 16.70M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.027
Fra:1 Mem:16.70M (Peak 16.70M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.028
Fra:1 Mem:16.70M (Peak 16.70M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_straight_crypt.corridor_straight.029
Fra:1 Mem:16.70M (Peak 16.70M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | corridor_l_crypt.corridor_l
Fra:1 Mem:16.70M (Peak 16.70M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | end_cap_crypt.end_cap
Fra:1 Mem:16.71M (Peak 16.71M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | end_cap_crypt.end_cap.001
Fra:1 Mem:16.71M (Peak 16.71M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | sarcophagus_crypt.sarcophagus
Fra:1 Mem:16.71M (Peak 16.71M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | brazier_crypt.brazier
Fra:1 Mem:16.74M (Peak 16.74M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:13.37M (Peak 16.74M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:13.37M (Peak 16.74M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:13.37M (Peak 16.74M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:13.37M (Peak 16.74M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:13.46M (Peak 41.48M) | Time:00:00.15 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:13.46M (Peak 41.48M) | Time:00:00.15 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Background
Fra:1 Mem:13.46M (Peak 41.48M) | Time:00:00.15 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:13.46M (Peak 41.48M) | Time:00:00.15 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:13.46M (Peak 41.48M) | Time:00:00.15 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:13.46M (Peak 41.48M) | Time:00:00.15 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
