Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:18.26M (Peak 18.26M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile
Fra:1 Mem:18.27M (Peak 18.27M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.004
Fra:1 Mem:18.27M (Peak 18.27M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.005
Fra:1 Mem:18.27M (Peak 18.27M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.007
Fra:1 Mem:18.27M (Peak 18.27M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.009
Fra:1 Mem:18.27M (Peak 18.27M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.010
Fra:1 Mem:18.27M (Peak 18.27M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.012
Fra:1 Mem:18.27M (Peak 18.27M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.013
Fra:1 Mem:18.28M (Peak 18.28M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.014
Fra:1 Mem:18.28M (Peak 18.28M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.015
Fra:1 Mem:18.28M (Peak 18.28M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.018
Fra:1 Mem:18.28M (Peak 18.28M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.019
Fra:1 Mem:18.28M (Peak 18.28M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.021
Fra:1 Mem:18.28M (Peak 18.28M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.022
Fra:1 Mem:18.29M (Peak 18.29M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.023
Fra:1 Mem:18.29M (Peak 18.29M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.025
Fra:1 Mem:18.29M (Peak 18.29M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.028
Fra:1 Mem:18.29M (Peak 18.29M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.029
Fra:1 Mem:18.29M (Peak 18.29M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.030
Fra:1 Mem:18.30M (Peak 18.30M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.031
Fra:1 Mem:18.30M (Peak 18.30M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.032
Fra:1 Mem:18.30M (Peak 18.30M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.034
Fra:1 Mem:18.30M (Peak 18.30M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.036
Fra:1 Mem:18.30M (Peak 18.30M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.038
Fra:1 Mem:18.30M (Peak 18.30M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.039
Fra:1 Mem:18.31M (Peak 18.31M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.040
Fra:1 Mem:18.31M (Peak 18.31M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.041
Fra:1 Mem:18.31M (Peak 18.31M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.043
Fra:1 Mem:18.31M (Peak 18.31M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.044
Fra:1 Mem:18.31M (Peak 18.31M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.045
Fra:1 Mem:18.31M (Peak 18.31M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.046
Fra:1 Mem:18.32M (Peak 18.32M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.048
